- Abadia,"40.2816911533681,-6.0065775109"
- Abertura,"39.2743638995941,-5.8001398096"
- Acebo,"40.2143928600746,-6.7091579182"
- Acehuche,"39.7984318047644,-6.6412962220"
- Aceituna,"40.1380756600269,-6.2894349506"
- Ahigal,"40.1651638860628,-6.1999968618"
- Albala,"39.2631288035281,-6.2136574842"
- Alcantara,"39.7231874431826,-6.8622017081"
- Alcollarin,"39.2079480583234,-5.7146225321"
- Alcuescar,"39.1609481340603,-6.2244306957"
- Aldea-del-Cano,"39.2870715986163,-6.3096365890"
- Aldea-del-Obispo-La,"39.5789831938691,-5.9168993488"
- Aldeacentenera,"39.5270279046965,-5.6277809239"
- Aldeanueva-de-la-Vera,"40.1377620411226,-5.7067432595"
- Aldeanueva-del-Camino,"40.2549721256914,-5.9273942915"
- Aldehuela-de-Jerte,"40.0160209373133,-6.2393416354"
- Alia,"39.4392910476979,-5.1663266360"
- Aliseda,"39.4099664332604,-6.6908555879"
- Almaraz,"39.8084304583316,-5.6695307125"
- Almoharin,"39.1494186436827,-6.0537426701"
- Arroyo-de-la-Luz,"39.5114849146111,-6.5796815554"
- Arroyomolinos,"39.14453538418,-6.145081978888"
- Arroyomolinos-de-la-Vera,"40.0469868327498,-5.8798484153"
- Banos-de-Montemayor,"40.3105129787462,-5.8766235137"
- Barrado,"40.0829874375865,-5.8909330404"
- Belvis-de-Monroy,"39.8185879383883,-5.6032730975"
- Benquerencia,"39.3067659698984,-6.0843309677"
- Berrocalejo,"39.8223719617221,-5.3487388216"
- Berzocana,"39.4730058459679,-5.5186827080"
- Bohonal-de-Ibor,"39.7949668759347,-5.4524823989"
- Botija,"39.3436500472783,-6.0862325035"
- Brozas,"39.5388467482299,-6.7671797093"
- Cabanas-del-Castillo,"39.5301862278939,-5.5065626215"
- Cabezabellosa,"40.1257089876727,-6.0025285077"
- Cabezuela-del-Valle,"40.2020449043597,-5.8013978758"
- Cabrero,"40.1189657165966,-5.8904456369"
- Caceres,"39.4282320285373,-6.4378180840"
- Cachorrilla,"39.9076083844814,-6.6822229458"
- Cadalso,"40.2451832104196,-6.5307555866"
- Calzadilla,"40.0540516697376,-6.5591000715"
- Caminomorisco,"40.3537749767544,-6.1843195442"
- Campillo-de-Deleitosa,"39.7132735119905,-5.5759470299"
- Campo-Lugar,"39.1676111780368,-5.7533641633"
- Canamero,"39.3814968140165,-5.3941671121"
- Canaveral,"39.8076852989997,-6.3717078301"
- Carbajo,"39.6274185613555,-7.1752117744"
- Carcaboso,"40.0441580666843,-6.2098203014"
- Carrascalejo,"39.6397855967712,-5.2136318403"
- Casar-de-Caceres,"39.5570227027942,-6.4819619457"
- Casar-de-Palomero,"40.290078059114,-6.26222946367"
- Casares-de-las-Hurdes,"40.4358488631915,-6.3169929424"
- Casas-de-Don-Antonio,"39.2330152827154,-6.2807238407"
- Casas-de-Don-Gomez,"40.015058241606,-6.60454566750"
- Casas-de-Millan,"39.7861192062784,-6.3028586163"
- Casas-de-Miravete,"39.7443518566568,-5.7716448069"
- Casas-del-Castanar,"40.1018800025583,-5.9412025320"
- Casas-del-Monte,"40.2043707895112,-5.9531916436"
- Casatejada,"39.9385879196323,-5.6761019042"
- Casillas-de-Coria,"39.9672538957428,-6.6632405917"
- Castanar-de-Ibor,"39.6810321374243,-5.4283568911"
- Ceclavin,"39.8325439513039,-6.7322036193"
- Cedillo,"39.6309496084705,-7.4750297525"
- Cerezo,"40.2344543758324,-6.2403508813"
- Cilleros,"40.0785178229911,-6.8289161817"
- Collado,"40.0359009214874,-5.6814758280"
- Conquista-de-la-Sierra,"39.3281395340668,-5.7449998189"
- Coria,"39.9783558273047,-6.5039627226"
- Cuacos-de-Yuste,"40.0720033623907,-5.6792485169"
- Cumbre-La,"39.4594196070884,-6.0021851496"
- Deleitosa,"39.6334289056531,-5.6399789461"
- Descargamaria,"40.3032048967552,-6.5118267215"
- Eljas,"40.2214847561778,-6.8336686220"
- Escurial,"39.1880177447907,-5.9106757665"
- Fresnedoso-de-Ibor,"39.6893200915513,-5.5266908211"
- Galisteo,"39.9939184269733,-6.2827214077"
- Garciaz,"39.4486993815812,-5.6075413905"
- Garganta-La,"40.3206119117506,-5.8163011279"
- Garganta-la-Olla,"40.1196642023639,-5.7760857244"
- Gargantilla,"40.234998262221,-5.90204304093"
- Garguera,"39.4761789, -6.3707604"
- Garrovillas-de-Alconetar,"39.6948891135746,-6.5045308758"
- Garvin,"39.7141878204684,-5.3551872412"
- Gata,"40.173020461072,-6.62526973506"
- Gordo-El,"39.8374636218964,-5.3598765515"
- Granja-La,"40.2385432523915,-5.9938640464"
- Guadalupe,"39.4484559282253,-5.3155576283"
- Guijo-de-Coria,"40.0568601074451,-6.4612027935"
- Guijo-de-Galisteo,"40.0372610830195,-6.3875917250"
- Guijo-de-Granadilla,"40.2034431471616,-6.1360832261"
- Guijo-de-Santa-Barbara,"40.1658099465136,-5.6469577222"
- Herguijuela,"39.3649994695088,-5.7550096217"
- Hernan-Perez,"40.2085520967906,-6.4779806154"
- Herrera-de-Alcantara,"39.597999286835,-7.38084758325"
- Herreruela,"39.4399928510033,-6.8464772602"
- Hervas,"40.2668956011417,-5.8454836260"
- Higuera,"39.739143801912,-5.65792882469"
- Hinojal,"39.7050731340682,-6.3418722019"
- Holguera,"39.8948756676995,-6.3536586855"
- Hoyos,"40.1630312457226,-6.7195981109"
- Huelaga,"40.060132986904,-6.61066526301"
- Ibahernando,"39.3293756286972,-5.9180239855"
- Jaraicejo,"39.6950733045625,-5.8540275022"
- Jaraiz-de-la-Vera,"40.0340711929572,-5.7523085698"
- Jarandilla-de-la-Vera,"40.0934715089776,-5.6244561000"
- Jarilla,"40.1693338165166,-6.0080616679"
- Jerte,"40.2277093410107,-5.7471696543"
- Ladrillar,"40.4423279140576,-6.1837952819"
- Logrosan,"39.2794327885514,-5.4958223744"
- Losar-de-la-Vera,"40.1242645971581,-5.5663586445"
- Madrigal-de-la-Vera,"40.1900649366144,-5.3670726750"
- Madrigalejo,"39.1495510987003,-5.6374149993"
- Madronera,"39.4591117860335,-5.7390434719"
- Majadas,"39.9550311968195,-5.7759142928"
- Malpartida-de-Caceres,"39.4448057265385,-6.5066964152"
- Malpartida-de-Plasencia,"39.9312480239683,-6.0499195179"
- Marchagaz,"40.2729220506965,-6.2793782968"
- Mata-de-Alcantara,"39.7076542374478,-6.7901125708"
- Membrio,"39.586937348723,-7.09533436095"
- Mesas-de-Ibor,"39.7649598177172,-5.5456175589"
- Miajadas,"39.117940709916,-5.93960086000"
- Millanes,"39.8559785739624,-5.5645257478"
- Mirabel,"39.8639878199907,-6.2299188590"
- Mohedas-de-Granadilla,"40.2719547145153,-6.1847724458"
- Monroy,"39.6783330268635,-6.1539124644"
- Montanchez,"39.1943453376874,-6.1907156332"
- Montehermoso,"40.0437173157176,-6.3388606768"
- Moraleja,"40.0162200410103,-6.6977016409"
- Morcillo,"40.0011804499888,-6.4057173153"
- Navaconcejo,"40.1714975693796,-5.8445273879"
- Navalmoral-de-la-Mata,"39.9369387104138,-5.5620179660"
- Navalvillar-de-Ibor,"39.6007084457755,-5.3741114860"
- Navas-del-Madrono,"39.6601015444106,-6.6241740993"
- Navezuelas,"39.5019907534356,-5.4255798671"
- Nunomoral,"40.4094423185548,-6.2467090476"
- Oliva-de-Plasencia,"40.1059178557857,-6.0954892706"
- Palomero,"40.2465241506575,-6.2750589365"
- Pasaron-de-la-Vera,"40.0237336352777,-5.8173262780"
- Pedroso-de-Acim,"39.8566247418802,-6.4050355827"
- Peraleda-de-la-Mata,"39.8708287390799,-5.4616409618"
- Peraleda-de-San-Roman,"39.7596987045786,-5.3863449947"
- Perales-del-Puerto,"40.1366659202792,-6.6845886673"
- Pescueza,"39.8938014023402,-6.6330521872"
- Pesga-La,"40.3125407658994,-6.1567263727"
- Piedras-Albas,"39.7872350384194,-6.9356528274"
- Pinofranqueado,"40.326317011376,-6.38245787894"
- Piornal,"40.1160688625181,-5.8350481009"
- Plasencia,"40.0124361110044,-6.1434137170"
- Plasenzuela,"39.3803613021709,-6.0583311778"
- Portaje,"39.8851962177613,-6.5586594962"
- Portezuelo,"39.793038456487,-6.52345260397"
- Pozuelo-de-Zarzon,"40.1454559524637,-6.4160917486"
- Puerto-de-Santa-Cruz,"39.2941478178941,-5.8633158100"
- Rebollar,"40.1555406923093,-5.9068329268"
- Riolobos,"39.9253791284834,-6.3345106491"
- Robledillo-de-Gata,"40.3414364729963,-6.4707388040"
- Robledillo-de-la-Vera,"40.0884435124127,-5.5798087266"
- Robledillo-de-Trujillo,"39.2685470655235,-5.9745790674"
- Robledollano,"39.6307770427798,-5.5311878947"
- Romangordo,"39.7690784163486,-5.7091117018"
- Rosalejo,"39.9834700341815,-5.4499448103"
- Ruanes,"39.3312725045456,-6.0118663777"
- Salorino,"39.4825874962402,-6.9902843006"
- Salvatierra-de-Santiago,"39.2931977453241,-6.0546508119"
- San-Martin-de-Trevejo,"40.2032183111576,-6.8289669248"
- Santa-Ana,"39.3382049292245,-5.9623092923"
- Santa-Cruz-de-la-Sierra,"39.3418397464054,-5.8317727713"
- Santa-Cruz-de-Paniagua,"40.2038307700643,-6.3121072120"
- Santa-Marta-de-Magasca,"39.5092881767472,-6.0969210700"
- Santiago-de-Alcantara,"39.6080317760201,-7.2518916770"
- Santiago-del-Campo,"39.6577544138789,-6.3942693855"
- Santibanez-el-Alto,"40.2015583696714,-6.5416850066"
- Santibanez-el-Bajo,"40.1668537248716,-6.2459999036"
- Saucedilla,"39.849225390768,-5.67305083232"
- Segura-de-Toro,"40.219352125737,-5.93957032532"
- Serradilla,"39.8164751400033,-6.0846000653"
- Serrejon,"39.8126584340348,-5.8147282159"
- Sierra-de-Fuentes,"39.3851953485566,-6.2730836806"
- Talavan,"39.6826604459483,-6.2704650474"
- Talaveruela-de-la-Vera,"40.1209885627298,-5.5201611887"
- Talayuela,"39.9948494476785,-5.4755179090"
- Tejeda-de-Tietar,"39.9939256843401,-5.8704467318"
- Toril,"39.8754677047534,-5.8842394658"
- Tornavacas,"40.2420165576752,-5.6797213225"
- Torno-El,"40.1207603823824,-5.9537945305"
- Torre-de-Don-Miguel,"40.2233317103713,-6.5703035680"
- Torre-de-Santa-Maria,"39.2537051744577,-6.0947271923"
- Torrecilla-de-los-angeles,"40.2573556191745,-6.4101121452"
- Torrecillas-de-la-Tiesa,"39.593354354258,-5.76272224566"
- Torrejon-el-Rubio,"39.7522001042599,-5.9855578385"
- Torrejoncillo,"39.907792331891,-6.46073187065"
- Torremenga,"40.035792939908,-5.77924213388"
- Torremocha,"39.3207576073475,-6.1802286383"
- Torreorgaz,"39.352555311167,-6.26087168449"
- Torrequemada,"39.3426720699841,-6.2296535168"
- Trujillo,"39.5175226182848,-5.9880330992"
- Valdastillas,"40.1452268126477,-5.9044919993"
- Valdecanas-de-Tajo,"39.7513092723495,-5.6189324722"
- Valdefuentes,"39.2914949463966,-6.1257920407"
- Valdehuncar,"39.8254762023113,-5.5296752729"
- Valdelacasa-de-Tajo,"39.7238895724738,-5.2929439246"
- Valdemorales,"39.2049725245714,-6.0640600544"
- Valdeobispo,"40.0896262007768,-6.2393379229"
- Valencia-de-Alcantara,"39.4845978572515,-7.2364812383"
- Valverde-de-la-Vera,"40.1081328198455,-5.4966769473"
- Valverde-del-Fresno,"40.157849165804,-6.92948880865"
- Viandar-de-la-Vera,"40.1375016455253,-5.5456679354"
- Villa-del-Campo,"40.1574495025209,-6.4742142637"
- Villa-del-Rey,"39.6654842669736,-6.8097845797"
- Villamesias,"39.2500786694132,-5.8859033587"
- Villamiel,"40.1484608999966,-6.8158361589"
- Villanueva-de-la-Sierra,"40.2021726834805,-6.4169377274"
- Villanueva-de-la-Vera,"40.1612166167137,-5.4181116770"
- Villar-de-Plasencia,"40.1469976904337,-6.0439256317"
- Villar-del-Pedroso,"39.670570423529,-5.25178363825"
- Villasbuenas-de-Gata,"40.1535029306178,-6.6255648185"
- Zarza-de-Granadilla,"40.2612729193987,-6.0812408742"
- Zarza-de-Montanchez,"39.2389494807189,-6.0292929799"
- Zarza-la-Mayor,"39.9069737149894,-6.8394926184"
- Zorita,"39.2875833632156,-5.6726093873"
